,TIME,KILLER,DEAD,KILL_METHOD,CURRENT_STATUS
492,12:28.00,notHaACKINGt,HEBRICKTAMLAND,weapon,dead
493,12:29.00,notHaACKINGtv,THEBRICKTAMLAND,weapon,dead
494,12:29.00,notHaACKINGtv,HEBRICKTAMLAND,weapon,dead
495,12:30.00,notHaACKINGtv,THEBRICKTAMLAND,weapon,dead
496,12:31.00,Sh33na,Arin_Yusuke,weapon,dead
497,12:32.00,Sh33na,Arin_Yusuke,weapon,dead
498,12:33.00,Sh33na,Arin_Yusuke,weapon,dead
499,12:33.00,Sh33na,Arin_Yusuke,weapon,dead
500,12:34.00,Sh33na,Arin_Yusuke,weapon,dead
501,12:35.00,Sh33na,Arin_Yusuke,weapon,dead
502,12:35.00,Sh33na,Arin_Yusuke,weapon,dead
503,12:36.00,Sh33na,Arin_Yusuke,weapon,dead
504,12:37.00,Sh33na,Arin_Yusuke,weapon,dead
505,12:37.00,Sh33na,Arin_Yusuke,weapon,dead
506,12:56.00,notHaACKINGty,itsjustpapasmurt,weapon,dead
507,12:57.00,notHaACKINGty,itsjustpapasmurt,weapon,dead
508,12:57.00,notHaACKINGty,itsjustpapasmurf,weapon,dead
509,12:58.00,notHaACKINGty,itsjustpapasmurt,weapon,dead
510,12:59.00,notHaACKINGt,itsjustpapasmurt,weapon,dead
511,12:59.00,notHaACKINGty,itsjustpapasmurt,weapon,dead
512,13:0.00,notHaACKINGt,itsjustpapasmurf,weapon,dead
513,13:1.00,notHaACKINGty,itsjustoapasmun,weapon,dead
514,13:1.00,ThoCarnonWoll,Dehlsw,weapon,dead
515,13:1.00,notHaACKINGty,itsjustpapasmurf,weapon,dead
516,13:1.00,TheCarbonWoll,Dehlaw,weapon,dead
517,13:2.00,notHaACKINGty,itsjustpapasmurf,weapon,dead
518,13:2.00,TheCarbonWoll,Dehlaw,weapon,dead
519,13:3.00,notHaACKINGty,tsjustpapasmun,weapon,dead
520,13:3.00,TheCarbonWol,Dehlaw,weapon,dead
521,13:3.00,TheCarbonWolf,Dehlaw,weapon,dead
522,13:4.00,TheCarbonWol,Dehlaw,weapon,dead
523,13:5.00,TheCarbonWolf,Dehlaw,weapon,dead
524,13:5.00,TheCarbonWolf,Dehlaw,weapon,dead
525,13:6.00,TheCarbonWolf,Dehlaw,weapon,dead
526,13:7.00,TheCarbonWolf,Dehlaw,weapon,dead
527,13:7.00,TheCarbonWol,Dehlaw,weapon,dead
528,13:9.00,TheCarbonWolf,SUPREMEKING2121,weapon,dead
529,13:10.00,TheCarbonWolf,SUPREMEKING2121,weapon,dead
530,13:11.00,TheCarbonWolt,SUPREMEKING2121,weapon,dead
531,13:11.00,TheCarbonWolf,SUPREMEKING2121,weapon,dead
532,13:12.00,TheCarbonWolf,SUPREMEKING2121,weapon,dead
533,13:13.00,TheCarbonWolf,SUPREMEKING2121,weapon,dead
534,13:13.00,TheCarbonWolf,SUPREMEKING2121,weapon,dead
535,13:14.00,TheCarbonWolf,SUPREMEKING2121,weapon,dead
536,13:15.00,TheCarbonWolf,SUPREMEKING2121,weapon,dead
537,13:15.00,TheCarbonWolf,SUPREMEKING2121,weapon,dead
538,13:16.00,TheCarbonWoll,SUPREMEKING2121,weapon,dead
539,13:21.00,TheCarbonWolf,Pharzoul,weapon,dead
540,13:22.00,TheCarbonWolf,Pharzoul,weapon,dead
541,13:23.00,TheCarbonWolf,Pharzoul,weapon,dead
542,13:24.00,heCarbonWoli,Pharzoul,weapon,dead
543,13:25.00,TheCarbonWolf,Pharzoul,weapon,dead
544,13:25.00,TheCarbonWolf,Pharzou,weapon,dead
545,13:26.00,TheCarbonWolf,Pharzou,weapon,dead
546,13:27.00,TheCarbonWoll,Pharzou,weapon,dead
547,13:27.00,TheCarbonWolf,Pharzoul,weapon,dead
548,13:57.00,NortuLux,ynwzey,weapon,dead
