,TIME,KILLER,DEAD,KILL_METHOD,CURRENT_STATUS
251,18:47.00,WW w420nk,NKD ItsMackie,weapon,dead
252,18:48.00,w420nk,NKD ItsMackie,weapon,dead
253,20:0.00,Cleansanch,TheCarbonWoll,weapon,dead
254,20:0.00,DrDisRespect,notHaACKINGtv,weapon,dead
255,20:4.00,DrDisRespect,notHaACKINGtv,weapon,dead
256,20:5.00,DrDisRespect,notHaACKINGtv,weapon,dead
257,20:5.00,DrDisRespect,notHaACKINGty,weapon,dead
258,20:6.00,DrDisRespect,notHaACKINGty,weapon,dead
259,20:17.00,CommandoBlandc,DoomBell,weapon,dead
260,20:17.00,Cleansanch,H20wolfman,weapon,dead
261,20:18.00,CommandoBlandc,DoomBell,weapon,dead
262,20:18.00,Cleansanch,H20wolfman,weapon,dead
263,20:19.00,CommandoBlandc,DoomBell,weapon,dead
264,20:19.00,Cleansanch,H20wolfman,weapon,dead
265,20:19.00,CommandoBlandc,DoomBell,weapon,dead
266,20:21.00,Cleansanch,H20wolfman,weapon,dead
267,21:1.00,MichelDouglas,GrandpaStig,weapon,dead
268,21:1.00,MichelDouglas,GrandpaStig,weapon,dead
269,21:2.00,MichelDouglas,GrandpaStig,weapon,dead
270,21:3.00,MichelDouglas,GrandpaStig,weapon,dead
271,21:3.00,MichelDouglas,GrandpaStig,weapon,dead
272,21:4.00,MichelDouglas,GrandpaStig,weapon,dead
273,21:5.00,MichelDouglas,GrandpaStig,weapon,dead
274,21:5.00,MichelDouglas,GrandpaStig,weapon,dead
275,21:6.00,MichelDouglas,GrandpaStig,weapon,dead
276,21:7.00,MichelDouglas,GrandpaStig,weapon,dead
277,21:49.00,CommandoBlando,chickentendie,weapon,dead
278,21:50.00,CommandoBlando,chickentendie,weapon,dead
279,21:51.00,CommandoBlando,chickentendie,weapon,dead
280,21:51.00,CommandoBlando,chickentendie,weapon,dead
281,21:52.00,CommandoBlando,chickentendie,weapon,dead
282,21:53.00,CommandoBlandc,chickentendie,weapon,dead
283,21:53.00,CommandoBlando,chickentendie,weapon,dead
284,21:54.00,CommandoBlando,chickentendie,weapon,dead
285,21:55.00,CommandoBlando,chickentendie,weapon,dead
286,22:35.00,DrDisRespect,CommandoBlando,weapon,dead
287,22:39.00,DrDisRespect,CommandoBlando,weapon,dead
288,22:41.00,DrDisRespect,CommandoBlandc,weapon,dead
